"Name","Ret.Time.1","Area.1","Mark.1","Ret..Index.1","SI.1","CAS.1","Retention.Index.1","Replicate.1","Ret.Time.2","Area.2","Mark.2","Ret..Index.2","SI.2","CAS.2","Retention.Index.2","Replicate.2","Ret.Time.3","Area.3","Mark.3","Ret..Index.3","SI.3","CAS.3","Retention.Index.3","Replicate.3","Ret.Time.Avg","Max.Area","Ret.Time.SD","Ret.Time.Outlier"
"2-propanone, 1-hydroxy-",1.909,168417,"   ",NA,98,"116 - 09 - 6",698,1,2.012,227607,"   ",NA,98,"116 - 09 - 6",698,2,2.004,136458," V ",NA,97,"116 - 09 - 6",698,3,1.975,227607,0.0572974694031071,NA
"heptane, 2,4-dimethyl-",3.817,3061686," V ",NA,98,"2213 - 23 - 2",788,1,3.908,3522998," V ",NA,98,"2213 - 23 - 2",788,2,3.941,2850851," V ",NA,98,"2213 - 23 - 2",788,3,3.88866666666667,3522998,0.0642209726906508,NA
"octane, 4-methyl-",4.791,1066317,"   ",NA,98,"2216 - 34 - 4",852,1,4.87,1254749,"   ",NA,98,"2216 - 34 - 4",852,2,4.905,1040762,"SV ",NA,98,"2216 - 34 - 4",852,3,4.85533333333333,1254749,0.0583980593284856,NA
"dodecane",18.341,3035177," V ",NA,98,"112 - 40 - 3",1214,1,18.349,2815896," V ",NA,98,"112 - 40 - 3",1214,2,18.39,1535076," V ",NA,97,"112 - 40 - 3",1214,3,18.36,3035177,0.0262868788561897,NA
"acetic acid",1.712,35743803,"   ",NA,97,"64 - 19 - 7",576,1,1.798,38359423,"   ",NA,98,"64 - 19 - 7",576,2,1.748,25652815,"   ",NA,99,"64 - 19 - 7",576,3,1.75266666666667,38359423,0.0431895048979881,NA
"hexanal",3.401,15238278,"SV ",NA,97,"66 - 25 - 1",806,1,3.497,13585345,"SV ",NA,97,"66 - 25 - 1",806,2,3.529,6213872,"SV ",NA,97,"66 - 25 - 1",806,3,3.47566666666667,15238278,0.0666133119829163,NA
"1-hexanol",5.039,2544937,"   ",NA,97,"111 - 27 - 3",860,1,5.117,1251592," V ",NA,96,"111 - 27 - 3",860,2,5.162,345184," V ",NA,91,"111 - 27 - 3",860,3,5.106,2544937,0.0622334315300066,NA
"1-octen-3-ol",8.65,3798101," V ",NA,97,"0 - 00 - 0",0,1,8.7,3251847," V ",NA,97,"0 - 00 - 0",0,2,8.726,132998,"T  ",NA,92,"0 - 00 - 0",0,3,8.692,3798101,0.038626415831656,NA
"nonanal",13.898,4810445," V ",NA,97,"124 - 19 - 6",1104,1,13.92,3733296," V ",NA,97,"124 - 19 - 6",1104,2,13.955,1709538," V ",NA,96,"124 - 19 - 6",1104,3,13.9243333333333,4810445,0.0287460142164674,NA
"2-propanone, 1-hydroxy-",1.87,14017,"   ",NA,96,"116 - 09 - 6",698,1,2.012,227607,"   ",NA,98,"116 - 09 - 6",698,2,2.004,136458," V ",NA,97,"116 - 09 - 6",698,3,1.962,227607,0.0797746827007165,NA
"acetoin",2.244,474352," V ",NA,96,"513 - 86 - 0",717,1,2.365,403983," V ",NA,99,"513 - 86 - 0",717,2,2.358,478054," V ",NA,97,"513 - 86 - 0",717,3,2.32233333333333,478054,0.0679288843816335,NA
"2-heptanone",5.483,2105184," V ",NA,96,"110 - 43 - 0",853,1,5.555,2470679," V ",NA,94,"110 - 43 - 0",853,2,5.594,1391246," V ",NA,95,"0 - 00 - 0",0,3,5.544,2470679,0.0563116329012046,NA
"benzaldehyde",7.835,18644942," V ",NA,96,"100 - 52 - 7",982,1,7.89,17956256," V ",NA,96,"100 - 52 - 7",982,2,7.918,8002741," V ",NA,96,"100 - 52 - 7",982,3,7.881,18644942,0.0422255846614349,NA
"benzaldehyde, 2-hydroxy-",11.087,3072841," V ",NA,96,"90 - 02 - 8",1203,1,11.121,2787783," V ",NA,97,"90 - 02 - 8",1203,2,11.163,971070," V ",NA,96,"90 - 02 - 8",1203,3,11.1236666666667,3072841,0.0380701107607182,NA
"octane, 5-ethyl-2-methyl-",13.754,3682828," V ",NA,95,"62016 - 18 - 6",986,1,13.777,3429485," V ",NA,95,"62016 - 18 - 6",986,2,13.817,2227864," V ",NA,95,"62016 - 18 - 6",986,3,13.7826666666667,3682828,0.031879983270594,NA
"dodecane, 4,6-dimethyl-",20.707,724655," V ",NA,95,"61141 - 72 - 8",1285,1,20.714,673705," V ",NA,94,"61141 - 72 - 8",1285,2,20.758,284095," V ",NA,91,"61141 - 72 - 8",1285,3,20.7263333333333,724655,0.0276465790529915,NA
"2-heptenal, (e)-",7.696,2090539," V ",NA,94,"18829 - 55 - 5",913,1,7.748,2020567," V ",NA,93,"18829 - 55 - 5",913,2,7.782,449621,"TV ",NA,92,"18829 - 55 - 5",913,3,7.742,2090539,0.0433128156554156,NA
"decane",9.441,5368107," V ",NA,94,"124 - 18 - 5",1015,1,9.485,6360330," V ",NA,94,"124 - 18 - 5",1015,2,9.522,6005533," V ",NA,95,"124 - 18 - 5",1015,3,9.48266666666667,6360330,0.0405503801872844,NA
"octane, 5-ethyl-2-methyl-",14.007,3141071,"SV ",NA,94,"62016 - 18 - 6",986,1,14.031,2795345,"SV ",NA,93,"62016 - 18 - 6",986,2,13.817,2227864," V ",NA,95,"62016 - 18 - 6",986,3,13.9516666666667,3141071,0.117240493573395,NA
"octane, 5-ethyl-2-methyl-",14.007,3141071,"SV ",NA,94,"62016 - 18 - 6",986,1,14.031,2795345,"SV ",NA,93,"62016 - 18 - 6",986,2,14.07,1541852,"SV ",NA,94,"62016 - 18 - 6",986,3,14.036,3141071,0.0317962261911695,NA
"cyclohexasiloxane, dodecamethyl-",23.254,1024441," V ",NA,94,"540 - 97 - 6",1240,1,23.256,644629," V ",NA,94,"540 - 97 - 6",1240,2,23.298,574622," V ",NA,95,"540 - 97 - 6",1240,3,23.2693333333333,1024441,0.0248461935381108,NA
"propanoic acid",2.209,3162023,"   ",NA,93,"79 - 09 - 4",676,1,2.3,1151313," V ",NA,93,"79 - 09 - 4",676,2,2.248,1269318,"   ",NA,93,"79 - 09 - 4",676,3,2.25233333333333,3162023,0.0456544995956951,NA
"nonane, 2-methyl-",8.037,7758009," V ",NA,93,"871 - 83 - 0",951,1,8.095,6376140," V ",NA,93,"871 - 83 - 0",951,2,8.131,3733185," V ",NA,95,"871 - 83 - 0",951,3,8.08766666666667,7758009,0.0474271370982195,NA
"bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1s)-",8.459,20717287," V ",NA,93,"18172 - 67 - 3",943,1,8.504,11489300," V ",NA,91,"18172 - 67 - 3",943,2,8.542,11000308,"SV ",NA,92,"18172 - 67 - 3",943,3,8.50166666666667,20717287,0.0415491676611378,NA
"decane, 4-methyl-",10.346,14277369," V ",NA,93,"2847 - 72 - 5",1051,1,10.386,12920266," V ",NA,94,"2847 - 72 - 5",1051,2,10.422,4300249," V ",NA,95,"2847 - 72 - 5",1051,3,10.3846666666667,14277369,0.0380175398116889,NA
"d-limonene",10.562,13822444," V ",NA,93,"5989 - 27 - 5",1018,1,10.608,9916953," V ",NA,86,"5989 - 27 - 5",1018,2,10.635,1850674,"SV ",NA,92,"5989 - 27 - 5",1018,3,10.6016666666667,13822444,0.0369097999633343,NA
"octane, 2,3,6,7-tetramethyl-",14.343,433859," V ",NA,93,"52670 - 34 - 5",958,1,14.369,399222," V ",NA,93,"52670 - 34 - 5",958,2,14.407,230085," V ",NA,91,"52670 - 34 - 5",958,3,14.373,433859,0.0321869538788622,NA
"2-nonenal, (e)-",16.365,2065924," V ",NA,93,"18829 - 56 - 6",1112,1,16.382,1903307," V ",NA,93,"18829 - 56 - 6",1112,2,16.426,466315," V ",NA,88,"18829 - 56 - 6",1112,3,16.391,2065924,0.0314801524773939,NA
"2-decenal, (e)-",21.003,1441677," V ",NA,93,"3913 - 81 - 3",1212,1,21.005,1381812," V ",NA,94,"3913 - 81 - 3",1212,2,21.054,513482," V ",NA,93,"3913 - 81 - 3",1212,3,21.0206666666667,1441677,0.0288848287745193,NA
"hexadecane",21.694,2207474," V ",NA,93,"544 - 76 - 3",1612,1,21.7,1969527," V ",NA,93,"544 - 76 - 3",1612,2,21.741,890528,"   ",NA,92,"544 - 76 - 3",1612,3,21.7116666666667,2207474,0.0255799400572665,NA
"camphene",7.432,2069275," V ",NA,92,"79 - 92 - 5",943,1,7.492,1003766,"   ",NA,86,"0 - 00 - 0",0,2,7.531,687834,"T  ",NA,91,"0 - 00 - 0",0,3,7.485,2069275,0.0498698305591664,NA
"n-caproic acid vinyl ester",11.887,7360872," V ",NA,92,"3050 - 69 - 9",974,1,11.921,6174539," V ",NA,93,"3050 - 69 - 9",974,2,11.934,1922495," V ",NA,90,"3050 - 69 - 9",974,3,11.914,7360872,0.0242693221990226,NA
"decanal",18.516,1185425," V ",NA,91,"112 - 31 - 2",1204,1,18.53,978354," V ",NA,90,"112 - 31 - 2",1204,2,18.569,346947," V ",NA,90,"112 - 31 - 2",1204,3,18.5383333333333,1185425,0.0274651294068194,NA
"furfural",4.032,1062746,"   ",NA,90,"98 - 01 - 1",831,1,4.119,1232255," V ",NA,93,"0 - 00 - 0",0,2,4.157,514163," V ",NA,90,"0 - 00 - 0",0,3,4.10266666666667,1232255,0.064080678315178,NA
"undecane, 5-methyl-",16.258,565145," V ",NA,90,"1632 - 70 - 8",1150,1,16.273,529840," V ",NA,88,"1632 - 70 - 8",1150,2,16.318,247824,"   ",NA,90,"1632 - 70 - 8",1150,3,16.283,565145,0.0312249899919932,NA
"2,3-octanedione",8.795,2237890," V ",NA,89,"585 - 25 - 1",1088,1,8.844,1916145," V ",NA,90,"585 - 25 - 1",1088,2,8.883,87203,"T  ",NA,85,"585 - 25 - 1",1088,3,8.84066666666667,2237890,0.0440945952848339,NA
"3-carene",9.706,8270870," V ",NA,89,"13466 - 78 - 9",948,1,9.748,6535484," V ",NA,89,"13466 - 78 - 9",948,2,9.789,7289876," V ",NA,88,"13466 - 78 - 9",948,3,9.74766666666667,8270870,0.0415010040039195,NA
"cyclopentasiloxane, decamethyl-",15.665,1498030," V ",NA,89,"541 - 02 - 6",1034,1,15.677,1071760," V ",NA,87,"541 - 02 - 6",1034,2,15.719,518208,"   ",NA,88,"541 - 02 - 6",1034,3,15.687,1498030,0.0283548937575157,NA
"undecane, 3-methyl-",16.961,198123," V ",NA,89,"1002 - 43 - 3",1150,1,16.98,160202," V ",NA,88,"1002 - 43 - 3",1150,2,17.017,48767,"   ",NA,88,"1002 - 43 - 3",1150,3,16.986,198123,0.0284780617317966,NA
"6-undecanone",21.428,316196,"   ",NA,89,"927 - 49 - 1",1251,1,21.434,354838,"   ",NA,91,"927 - 49 - 1",1251,2,21.479,126789,"   ",NA,85,"927 - 49 - 1",1251,3,21.447,354838,0.0278747197295317,NA
"octane, 5-ethyl-2-methyl-",13.754,3682828," V ",NA,95,"62016 - 18 - 6",986,1,13.777,3429485," V ",NA,95,"62016 - 18 - 6",986,2,NA,5170901,"SV ",NA,NA,"62016 - 18 - 6",986,3,13.197,5170901,0.984738036230956,12.06
"octane, 5-ethyl-2-methyl-",13.754,3682828," V ",NA,95,"62016 - 18 - 6",986,1,13.777,3429485," V ",NA,95,"62016 - 18 - 6",986,2,NA,9142073," V ",NA,NA,"62016 - 18 - 6",986,3,13.1183333333333,9142073,1.12098453750858,11.824
"octane, 5-ethyl-2-methyl-",13.754,3682828," V ",NA,95,"62016 - 18 - 6",986,1,13.777,3429485," V ",NA,95,"62016 - 18 - 6",986,2,NA,1541852,"SV ",NA,NA,"62016 - 18 - 6",986,3,13.867,3682828,0.176178886362697,14.07
"octane, 5-ethyl-2-methyl-",13.754,3682828," V ",NA,95,"62016 - 18 - 6",986,1,14.031,2795345,"SV ",NA,93,"62016 - 18 - 6",986,2,NA,5170901,"SV ",NA,NA,"62016 - 18 - 6",986,3,13.2816666666667,5170901,1.06702124314998,12.06
"octane, 5-ethyl-2-methyl-",13.754,3682828," V ",NA,95,"62016 - 18 - 6",986,1,NA,2795345,"SV ",NA,NA,"62016 - 18 - 6",986,2,13.817,2227864," V ",NA,95,"62016 - 18 - 6",986,3,13.8673333333333,3682828,0.145197566554448,14.031
"octane, 5-ethyl-2-methyl-",13.754,3682828," V ",NA,95,"62016 - 18 - 6",986,1,14.031,2795345,"SV ",NA,93,"62016 - 18 - 6",986,2,NA,9142073," V ",NA,NA,"62016 - 18 - 6",986,3,13.203,9142073,1.20225330109757,11.824
"octane, 5-ethyl-2-methyl-",NA,3682828," V ",NA,NA,"62016 - 18 - 6",986,1,14.031,2795345,"SV ",NA,93,"62016 - 18 - 6",986,2,14.07,1541852,"SV ",NA,94,"62016 - 18 - 6",986,3,13.9516666666667,3682828,0.172291419790231,13.754
"octane, 5-ethyl-2-methyl-",NA,3682828," V ",NA,NA,"62016 - 18 - 6",986,1,11.79,8467481," V ",NA,90,"62016 - 18 - 6",986,2,12.06,5170901,"SV ",NA,95,"62016 - 18 - 6",986,3,12.5346666666667,8467481,1.06456814405342,13.754
"octane, 5-ethyl-2-methyl-",13.754,3682828," V ",NA,95,"62016 - 18 - 6",986,1,NA,8467481," V ",NA,NA,"62016 - 18 - 6",986,2,13.817,2227864," V ",NA,95,"62016 - 18 - 6",986,3,13.1203333333333,8467481,1.15253300748106,11.79
"octane, 5-ethyl-2-methyl-",NA,3682828," V ",NA,NA,"62016 - 18 - 6",986,1,11.79,8467481," V ",NA,90,"62016 - 18 - 6",986,2,11.824,9142073," V ",NA,94,"62016 - 18 - 6",986,3,12.456,9142073,1.12422951393388,13.754
"octane, 5-ethyl-2-methyl-",13.754,3682828," V ",NA,95,"62016 - 18 - 6",986,1,NA,8467481," V ",NA,NA,"62016 - 18 - 6",986,2,14.07,1541852,"SV ",NA,94,"62016 - 18 - 6",986,3,13.2046666666667,8467481,1.23528350322237,11.79
"octane, 5-ethyl-2-methyl-",14.007,3141071,"SV ",NA,94,"62016 - 18 - 6",986,1,13.777,3429485," V ",NA,95,"62016 - 18 - 6",986,2,NA,5170901,"SV ",NA,NA,"62016 - 18 - 6",986,3,13.2813333333333,5170901,1.06393906467116,12.06
"octane, 5-ethyl-2-methyl-",NA,3141071,"SV ",NA,NA,"62016 - 18 - 6",986,1,13.777,3429485," V ",NA,95,"62016 - 18 - 6",986,2,13.817,2227864," V ",NA,95,"62016 - 18 - 6",986,3,13.867,3429485,0.122882057274445,14.007
"octane, 5-ethyl-2-methyl-",14.007,3141071,"SV ",NA,94,"62016 - 18 - 6",986,1,13.777,3429485," V ",NA,95,"62016 - 18 - 6",986,2,NA,9142073," V ",NA,NA,"62016 - 18 - 6",986,3,13.2026666666667,9142073,1.19948586208147,11.824
